site_id,date,metric,observed,expected,residual,anomaly_score,rule
S1,2025-01-05,units_produced,0.0,1185.3254787148958,-1185.3254787148958,-17.942773771828175,|z|>=3.0 via STL residuals
S1,2025-01-18,units_produced,0.0,1239.7293360005435,-1239.7293360005435,-18.771972684192956,|z|>=3.0 via STL residuals
S1,2025-01-20,units_produced,1084.0,1306.8818851092985,-222.88188510929857,-3.273645131922963,|z|>=3.0 via STL residuals
S1,2025-01-23,units_produced,0.0,1262.6763822179694,-1262.6763822179694,-19.121721152680568,|z|>=3.0 via STL residuals
S1,2025-02-11,units_produced,988.0,1334.8697216590356,-346.8697216590355,-5.163411489365165,|z|>=3.0 via STL residuals
S1,2025-03-04,units_produced,1018.0,1338.7264717615312,-320.72647176153123,-4.7649479343479,|z|>=3.0 via STL residuals
S1,2025-03-20,units_produced,1414.0,1157.7706437101285,256.2293562898715,4.028751060023836,|z|>=3.0 via STL residuals
S1,2025-03-25,units_produced,0.0,1312.4968750965481,-1312.4968750965481,-19.881062504002234,|z|>=3.0 via STL residuals
S1,2025-03-29,units_produced,0.0,1091.56109552332,-1091.56109552332,-16.513659579560784,|z|>=3.0 via STL residuals
S1,2025-04-11,units_produced,0.0,1222.9768022342766,-1222.9768022342766,-18.516638164337003,|z|>=3.0 via STL residuals
S1,2025-04-22,units_produced,0.0,1277.576808214898,-1277.576808214898,-19.34882668612745,|z|>=3.0 via STL residuals
S1,2025-04-28,units_produced,0.0,1281.105584383591,-1281.105584383591,-19.402610691656612,|z|>=3.0 via STL residuals
S1,2025-05-04,units_produced,0.0,1064.438567033558,-1064.438567033558,-16.100270304491378,|z|>=3.0 via STL residuals
S1,2025-05-20,units_produced,0.0,1272.620919434236,-1272.620919434236,-19.273291277578213,|z|>=3.0 via STL residuals
S1,2025-05-29,units_produced,1019.0,1229.4602784687816,-210.4602784687816,-3.084320638586771,|z|>=3.0 via STL residuals
S1,2025-06-02,units_produced,0.0,1151.4196425695159,-1151.4196425695159,-17.425996398728486,|z|>=3.0 via STL residuals
S1,2025-06-03,units_produced,0.0,1306.52574779363,-1306.52574779363,-19.79005329046109,|z|>=3.0 via STL residuals
S1,2025-06-07,units_produced,0.0,1227.966822192274,-1227.966822192274,-18.59269378480753,|z|>=3.0 via STL residuals
S1,2025-06-18,units_produced,1062.0,1272.334148806441,-210.33414880644088,-3.0823982274922646,|z|>=3.0 via STL residuals
S1,2025-07-16,units_produced,0.0,1332.2757232306028,-1332.2757232306028,-20.182522734560425,|z|>=3.0 via STL residuals
S1,2025-07-29,units_produced,1020.0,1412.9373119278089,-392.937311927809,-5.865552801617497,|z|>=3.0 via STL residuals
S1,2025-08-06,units_produced,1026.0,1384.2071053183224,-358.2071053183224,-5.336210747880664,|z|>=3.0 via STL residuals
S1,2025-08-15,units_produced,0.0,1415.4954264667972,-1415.4954264667972,-21.450919698556145,|z|>=3.0 via STL residuals
S1,2025-08-26,units_produced,0.0,1248.3504774175135,-1248.3504774175135,-18.903372210678008,|z|>=3.0 via STL residuals
S1,2025-08-27,units_produced,0.0,1248.8210262704324,-1248.8210262704324,-18.91054410282908,|z|>=3.0 via STL residuals
S1,2025-09-01,units_produced,0.0,1310.816825931549,-1310.816825931549,-19.855455956785878,|z|>=3.0 via STL residuals
S1,2025-09-05,units_produced,1128.0,1460.8616795993205,-332.8616795993205,-4.949907267058119,|z|>=3.0 via STL residuals
S1,2025-09-06,units_produced,994.0,1331.8321609908767,-337.83216099087656,-5.0256650895626445,|z|>=3.0 via STL residuals
S1,2025-09-12,units_produced,1228.0,1442.0325129989005,-214.03251299890042,-3.1387670167458404,|z|>=3.0 via STL residuals
